#OTU	dummy
OTU.2046	1
OTU.622	1
OTU.382	1
OTU.465	1
OTU.21306	1
OTU.921	1
OTU.616	1
OTU.238	1
OTU.1489	1
OTU.294	1
OTU.993	1
OTU.412	1
OTU.1336	1
OTU.762	1
OTU.1044	1
OTU.504	1
OTU.457	1
OTU.18079	1
OTU.13178	1
OTU.956	1
OTU.18804	1
OTU.659	1
OTU.490	1
OTU.480	1
OTU.2893	1
OTU.597	1
OTU.815	1
OTU.832	1
OTU.752	1
OTU.7384	1
OTU.23882	1
OTU.428	1
OTU.778	1
OTU.17654	1
OTU.977	1
OTU.1487	1
OTU.1449	1
OTU.716	1
OTU.1355	1
OTU.1894	1
OTU.907	1
OTU.1710	1
OTU.1779	1
OTU.2328	1
OTU.1074	1
OTU.950	1
OTU.1299	1
OTU.662	1
OTU.1954	1
OTU.4790	1
OTU.677	1
OTU.3465	1
OTU.1562	1
OTU.2106	1
OTU.7584	1
OTU.288	1
OTU.9	1
OTU.3	1
OTU.669	1
OTU.15310	1
OTU.181	1
OTU.68	1
OTU.2028	1
OTU.349	1
OTU.655	1
OTU.3782	1
OTU.1599	1
OTU.2450	1
OTU.14363	1
OTU.558	1
OTU.338	1
OTU.1869	1
OTU.5788	1
OTU.2440	1
OTU.299	1
OTU.28	1
OTU.573	1
OTU.726	1
OTU.642	1
OTU.390	1
OTU.406	1
OTU.19530	1
OTU.1022	1
OTU.580	1
OTU.1301	1
OTU.23709	1
OTU.425	1
OTU.1303	1
OTU.385	1
OTU.774	1
OTU.1277	1
OTU.1766	1
OTU.7370	1
OTU.401	1
OTU.286	1
OTU.588	1
OTU.2379	1
OTU.633	1
OTU.694	1
OTU.347	1
OTU.2815	1
OTU.1166	1
OTU.1010	1
OTU.25273	1
OTU.30510	1
OTU.1658	1
OTU.2279	1
OTU.1538	1
OTU.26875	1
OTU.4062	1
OTU.1325	1
OTU.1950	1
OTU.1968	1
OTU.2277	1
OTU.156	1
OTU.173	1
OTU.25	1
OTU.4859	1
OTU.7587	1
OTU.10911	1
OTU.467	1
OTU.256	1
OTU.134	1
OTU.302	1
OTU.1069	1
OTU.162	1
OTU.6624	1
OTU.4774	1
OTU.2114	1
OTU.4576	1
OTU.6025	1
OTU.9215	1
OTU.11735	1
OTU.392	1
OTU.466	1
OTU.378	1
OTU.274	1
OTU.360	1
OTU.353	1
OTU.150	1
OTU.473	1
OTU.167	1
OTU.1838	1
OTU.320	1
OTU.92	1
OTU.496	1
OTU.1019	1
OTU.1009	1
OTU.705	1
OTU.5390	1
OTU.153	1
OTU.581	1
OTU.341	1
OTU.33324	1
OTU.606	1
OTU.24146	1
OTU.155	1
OTU.2523	1
OTU.1584	1
OTU.1383	1
OTU.712	1
OTU.1142	1
OTU.523	1
OTU.829	1
OTU.775	1
OTU.10573	1
OTU.1229	1
OTU.667	1
OTU.843	1
OTU.559	1
OTU.442	1
OTU.8255	1
OTU.379	1
OTU.1406	1
OTU.1731	1
OTU.658	1
OTU.333	1
OTU.632	1
OTU.3282	1
OTU.8754	1
OTU.11891	1
OTU.802	1
OTU.2553	1
OTU.745	1
OTU.722	1
OTU.13910	1
OTU.9418	1
OTU.1332	1
OTU.2557	1
OTU.534	1
OTU.4122	1
OTU.19387	1
OTU.2611	1
OTU.224	1
OTU.348	1
OTU.3228	1
OTU.1233	1
OTU.7367	1
OTU.246	1
OTU.56	1
OTU.591	1
OTU.103	1
OTU.470	1
OTU.574	1
OTU.19043	1
OTU.23594	1
OTU.637	1
OTU.27260	1
OTU.1535	1
OTU.5715	1
OTU.1158	1
OTU.19356	1
OTU.5308	1
OTU.119	1
OTU.116	1
OTU.14953	1
OTU.419	1
OTU.13	1
OTU.754	1
OTU.7851	1
OTU.125	1
OTU.6276	1
OTU.1080	1
OTU.34220	1
OTU.5417	1
OTU.11677	1
OTU.84	1
OTU.389	1
OTU.289	1
OTU.3348	1
OTU.31	1
OTU.1184	1
OTU.423	1
OTU.296	1
OTU.435	1
OTU.1110	1
OTU.1991	1
OTU.485	1
OTU.1863	1
OTU.525	1
OTU.168	1
OTU.500	1
OTU.751	1
OTU.2116	1
OTU.800	1
OTU.1176	1
OTU.1180	1
OTU.2009	1
OTU.8697	1
OTU.537	1
OTU.18593	1
OTU.1689	1
OTU.8466	1
OTU.2403	1
OTU.80	1
OTU.398	1
OTU.313	1
OTU.1116	1
OTU.164	1
OTU.264	1
OTU.584	1
OTU.87	1
OTU.275	1
OTU.10646	1
OTU.892	1
OTU.787	1
OTU.992	1
OTU.1522	1
OTU.437	1
OTU.838	1
OTU.434	1
OTU.955	1
OTU.1563	1
OTU.216	1
OTU.1298	1
OTU.4843	1
OTU.22376	1
OTU.750	1
OTU.1247	1
OTU.342	1
OTU.19330	1
OTU.1646	1
OTU.4677	1
OTU.604	1
OTU.27301	1
OTU.902	1
OTU.11921	1
OTU.3779	1
OTU.446	1
OTU.1651	1
OTU.433	1
OTU.27369	1
OTU.7506	1
OTU.3862	1
OTU.900	1
OTU.704	1
OTU.3200	1
OTU.2026	1
OTU.160	1
OTU.624	1
OTU.1210	1
OTU.2122	1
OTU.541	1
OTU.10630	1
OTU.1556	1
OTU.1034	1
OTU.799	1
OTU.7431	1
OTU.2702	1
OTU.10654	1
OTU.26068	1
OTU.9505	1
OTU.2891	1
OTU.29011	1
OTU.3765	1
OTU.1883	1
OTU.1288	1
OTU.3356	1
OTU.26418	1
OTU.888	1
OTU.649	1
OTU.1254	1
OTU.8949	1
OTU.536	1
OTU.17978	1
OTU.980	1
OTU.22015	1
OTU.2016	1
OTU.601	1
OTU.532	1
OTU.41	1
OTU.1273	1
OTU.919	1
OTU.7921	1
OTU.11053	1
OTU.16172	1
OTU.1525	1
OTU.22469	1
OTU.721	1
OTU.114	1
OTU.982	1
OTU.3568	1
OTU.22090	1
OTU.986	1
OTU.249	1
OTU.1349	1
OTU.1792	1
OTU.1558	1
OTU.5667	1
OTU.1534	1
OTU.1269	1
OTU.22419	1
OTU.2618	1
OTU.3029	1
OTU.9558	1
OTU.99	1
OTU.703	1
OTU.368	1
OTU.218	1
OTU.192	1
OTU.877	1
OTU.204	1
OTU.2241	1
OTU.32645	1
OTU.1809	1
OTU.269	1
OTU.753	1
OTU.203	1
OTU.217	1
OTU.1429	1
OTU.380	1
OTU.359	1
OTU.505	1
OTU.724	1
OTU.611	1
OTU.141	1
OTU.1962	1
OTU.772	1
OTU.400	1
OTU.735	1
OTU.199	1
OTU.20479	1
OTU.6071	1
OTU.493	1
OTU.1988	1
OTU.1434	1
OTU.9683	1
OTU.1352	1
OTU.702	1
OTU.1000	1
OTU.1714	1
OTU.2001	1
OTU.3851	1
OTU.14	1
OTU.39	1
OTU.3597	1
OTU.664	1
OTU.418	1
OTU.430	1
OTU.157	1
OTU.178	1
OTU.661	1
OTU.1359	1
OTU.1144	1
OTU.146	1
OTU.5685	1
OTU.13713	1
OTU.725	1
OTU.17235	1
OTU.3326	1
OTU.928	1
OTU.369	1
OTU.1171	1
OTU.963	1
OTU.86	1
OTU.414	1
OTU.373	1
OTU.18643	1
OTU.8880	1
OTU.12462	1
OTU.522	1
OTU.210	1
OTU.5609	1
OTU.309	1
OTU.8464	1
OTU.22682	1
OTU.1781	1
OTU.798	1
OTU.893	1
OTU.1364	1
OTU.683	1
OTU.7119	1
OTU.22645	1
